restaurant_name,country_code,city,cuisines,average_cost_for_two,currency,has_table_booking,has_online_delivery,is_delivering_now,price_range,aggregate_rating,rating_color,rating_text,votes,price_category
Cafe Arabelle,162,Santa Rosa,Cafe,800,Botswana Pula(P),0,0,No,3,3.6,Yellow,Good,29,Mid-range
Nonna's Pasta & Pizzeria,162,Santa Rosa,Italian,850,Botswana Pula(P),0,0,No,3,4.0,Green,Very Good,72,Expensive
Balay Dako,162,Tagaytay City,Filipino,1200,Botswana Pula(P),1,0,No,3,4.5,Dark Green,Excellent,211,Expensive
Hobing Korean Dessert Cafe,162,Taguig City,Cafe,600,Botswana Pula(P),0,0,No,2,4.5,Dark Green,Excellent,118,Mid-range
Wildflour Cafe + Bakery,162,Taguig City,Cafe,1500,Botswana Pula(P),1,0,No,4,4.4,Green,Very Good,392,Expensive
NIU by Vikings,162,Taguig City,Seafood,3000,Botswana Pula(P),1,0,No,4,4.7,Dark Green,Excellent,535,Luxury
The Food Hall by Todd English,162,Taguig City,American,1800,Botswana Pula(P),1,0,No,4,4.5,Dark Green,Excellent,618,Expensive
Chez Michou,30,Brasí_lia,Fast Food,55,Brazilian Real(R$),0,0,No,2,3.0,Orange,Average,6,Budget
Cafí© Daniel Briand,30,Brasí_lia,Cafe,30,Brazilian Real(R$),0,0,No,1,3.8,Yellow,Good,9,Budget
Casa do Biscoito Mineiro,30,Brasí_lia,Bakery,45,Brazilian Real(R$),0,0,No,2,3.7,Yellow,Good,11,Budget
Maori,30,Brasí_lia,Brazilian,60,Brazilian Real(R$),0,0,No,3,3.8,Yellow,Good,11,Budget
Pizza íæ Bessa,30,Brasí_lia,Pizza,50,Brazilian Real(R$),0,0,No,2,3.2,Orange,Average,11,Budget
Sushi Loko,30,Brasí_lia,Japanese,80,Brazilian Real(R$),0,0,No,3,3.1,Orange,Average,10,Budget
Beirute,30,Brasí_lia,Arabian,90,Brazilian Real(R$),0,0,No,3,3.7,Yellow,Good,8,Budget
New Koto,30,Brasí_lia,Japanese,200,Brazilian Real(R$),0,0,No,4,3.7,Yellow,Good,5,Budget
Sandubas Cafí©,30,Brasí_lia,Brazilian,30,Brazilian Real(R$),0,0,No,1,0.0,White,Not rated,2,Budget
Villa Tevere,30,Brasí_lia,Italian,150,Brazilian Real(R$),0,0,No,4,4.1,Green,Very Good,12,Budget
Rovereto,30,Brasí_lia,Pizza,100,Brazilian Real(R$),0,0,No,4,3.1,Orange,Average,9,Budget
Buena Carne,30,Brasí_lia,Bar Food,60,Brazilian Real(R$),0,0,No,3,3.6,Yellow,Good,9,Budget
Taco Pep,30,Brasí_lia,Mexican,100,Brazilian Real(R$),0,0,No,4,4.3,Green,Very Good,29,Budget
Coco Bambu,30,Brasí_lia,International,230,Brazilian Real(R$),0,0,No,4,4.2,Green,Very Good,17,Budget
Taypíç,30,Brasí_lia,Peruvian,100,Brazilian Real(R$),0,0,No,4,3.6,Yellow,Good,5,Budget
Outback Steakhouse,30,Brasí_lia,American,150,Brazilian Real(R$),0,0,No,4,4.0,Green,Very Good,10,Budget
Manzuíç,30,Brasí_lia,Seafood,240,Brazilian Real(R$),0,0,No,4,3.2,Orange,Average,6,Budget
Coco Bambu,30,Brasí_lia,International,230,Brazilian Real(R$),0,0,No,4,4.9,Dark Green,Excellent,30,Budget
Gero,30,Brasí_lia,Italian,350,Brazilian Real(R$),0,0,No,4,3.3,Orange,Average,8,Mid-range
Brazilian American Burgers,30,Brasí_lia,American,50,Brazilian Real(R$),0,0,No,2,3.6,Yellow,Good,9,Budget
Pesqueiro Eco Gourmet,30,Rio de Janeiro,Seafood,140,Brazilian Real(R$),0,0,No,4,4.0,Green,Very Good,7,Budget
Confeitaria Colombo,30,Rio de Janeiro,Desserts,100,Brazilian Real(R$),0,0,No,4,4.8,Dark Green,Excellent,29,Budget
Bibi,30,Rio de Janeiro,Juices,60,Brazilian Real(R$),0,0,No,3,4.7,Dark Green,Excellent,24,Budget
Cervantes,30,Rio de Janeiro,Beverages,90,Brazilian Real(R$),0,0,No,3,4.5,Dark Green,Excellent,29,Budget
Amir,30,Rio de Janeiro,Lebanese,170,Brazilian Real(R$),0,0,No,4,4.2,Green,Very Good,11,Budget
TT Burger,30,Rio de Janeiro,Burger,60,Brazilian Real(R$),0,0,No,3,4.8,Dark Green,Excellent,19,Budget
Braseiro da Gíçvea,30,Rio de Janeiro,Brazilian,100,Brazilian Real(R$),0,0,No,4,4.9,Dark Green,Excellent,40,Budget
Balada Mix,30,Rio de Janeiro,Brazilian,90,Brazilian Real(R$),0,0,No,3,4.6,Dark Green,Excellent,21,Budget
Garota de Ipanema,30,Rio de Janeiro,Brazilian,120,Brazilian Real(R$),0,0,No,4,4.9,Dark Green,Excellent,49,Budget
Zazíç BistríÇ Tropical,30,Rio de Janeiro,Brazilian,170,Brazilian Real(R$),0,0,No,4,4.6,Dark Green,Excellent,21,Budget
Filí© de Ouro,30,Rio de Janeiro,Brazilian,90,Brazilian Real(R$),0,0,No,3,4.3,Green,Very Good,14,Budget
D.O.C Ristorante,30,Rio de Janeiro,Italian,150,Brazilian Real(R$),0,0,No,4,4.0,Green,Very Good,5,Budget
Sushi Leblon,30,Rio de Janeiro,Japanese,250,Brazilian Real(R$),0,0,No,4,4.6,Dark Green,Excellent,25,Budget
Talho Capixaba,30,Rio de Janeiro,Bakery,120,Brazilian Real(R$),0,0,No,4,4.4,Green,Very Good,13,Budget
Leme Light,30,Rio de Janeiro,Brazilian,40,Brazilian Real(R$),0,0,No,2,4.2,Green,Very Good,7,Budget
Shirley,30,Rio de Janeiro,Brazilian,250,Brazilian Real(R$),0,0,No,4,4.2,Green,Very Good,8,Budget
Quiosque Chopp Brahma,30,Rio de Janeiro,Bar Food,70,Brazilian Real(R$),0,0,No,3,0.0,White,Not rated,1,Budget
Aprazí_vel,30,Rio de Janeiro,Brazilian,300,Brazilian Real(R$),0,0,No,4,4.7,Dark Green,Excellent,44,Budget
Aconchego Carioca,30,Rio de Janeiro,Brazilian,85,Brazilian Real(R$),0,0,No,3,4.6,Dark Green,Excellent,24,Budget
Garota de Ipanema,30,Rio de Janeiro,Brazilian,80,Brazilian Real(R$),0,0,No,3,4.3,Green,Very Good,10,Budget
Cantina Famiglia Mancini,30,Sí£o Paulo,Italian,250,Brazilian Real(R$),0,0,No,4,4.5,Dark Green,Excellent,49,Budget
Templo da Carne - Marcos Bassi,30,Sí£o Paulo,Steak,250,Brazilian Real(R$),0,0,No,4,4.4,Green,Very Good,17,Budget
Gopala Hari,30,Sí£o Paulo,Indian,70,Brazilian Real(R$),0,0,No,3,3.1,Orange,Average,5,Budget
Jiquitaia,30,Sí£o Paulo,Brazilian,100,Brazilian Real(R$),0,0,No,4,4.1,Green,Very Good,15,Budget
Skye - Hotel Unique,30,Sí£o Paulo,Beverages,300,Brazilian Real(R$),0,0,No,4,4.8,Dark Green,Excellent,59,Budget
Les 3 Brasseurs,30,Sí£o Paulo,French,120,Brazilian Real(R$),0,0,No,4,4.6,Dark Green,Excellent,30,Budget
Red Steak & Burger,30,Sí£o Paulo,Brazilian,75,Brazilian Real(R$),0,0,No,3,3.9,Yellow,Good,5,Budget
Cantinho da Gula,30,Sí£o Paulo,Brazilian,55,Brazilian Real(R$),0,0,No,2,0.0,White,Not rated,0,Budget
Paris 6 Classique,30,Sí£o Paulo,French,200,Brazilian Real(R$),0,0,No,4,3.4,Orange,Average,73,Budget
Kawa Sushi,30,Sí£o Paulo,Sushi,120,Brazilian Real(R$),0,0,No,4,3.5,Yellow,Good,9,Budget
A Figueira Rubaiyat,30,Sí£o Paulo,BBQ,300,Brazilian Real(R$),0,0,No,4,4.3,Green,Very Good,39,Budget
Kinoshita,30,Sí£o Paulo,Sushi,230,Brazilian Real(R$),0,0,No,4,3.9,Yellow,Good,12,Budget
Meats,30,Sí£o Paulo,Gourmet Fast Food,120,Brazilian Real(R$),0,0,No,4,4.3,Green,Very Good,68,Budget
Paribar,30,Sí£o Paulo,Brazilian,150,Brazilian Real(R$),0,0,No,4,4.3,Green,Very Good,46,Budget
Terraí_o Itíçlia,30,Sí£o Paulo,Italian,400,Brazilian Real(R$),0,0,No,4,4.4,Green,Very Good,37,Mid-range
Divino Fogí£o,30,Sí£o Paulo,Brazilian,65,Brazilian Real(R$),0,0,No,3,0.0,White,Not rated,2,Budget
Super Grill,30,Sí£o Paulo,Brazilian,50,Brazilian Real(R$),0,0,No,2,0.0,White,Not rated,2,Budget
Esquina Mocotí_,30,Sí£o Paulo,Brazilian,100,Brazilian Real(R$),0,0,No,4,4.4,Green,Very Good,22,Budget
Veloso,30,Sí£o Paulo,Brazilian,70,Brazilian Real(R$),0,0,No,3,4.6,Dark Green,Excellent,58,Budget
Sainte Marie Gastronomia,30,Sí£o Paulo,Lebanese,120,Brazilian Real(R$),0,0,No,4,4.1,Green,Very Good,11,Budget
Austin's BBQ and Oyster Bar,216,Albany,BBQ,25,Dollar($),0,0,No,2,3.3,Orange,Average,35,Budget
BJ's Country Buffet,216,Albany,American,10,Dollar($),0,0,No,1,3.3,Orange,Average,25,Budget
El Vaquero Mexican Restaurant,216,Albany,Mexican,0,Dollar($),0,0,No,1,3.4,Orange,Average,45,
Elements Coffee Co - Northwest,216,Albany,Coffee and Tea,10,Dollar($),0,0,No,1,3.4,Orange,Average,26,Budget
Chick-fil-A,216,Albany,Fast Food,10,Dollar($),0,0,No,1,3.5,Yellow,Good,67,Budget
Guang Zhou Chinese Restaurant,216,Albany,Asian,10,Dollar($),0,0,No,1,3.9,Yellow,Good,141,Budget
Harvest Moon,216,Albany,Pizza,25,Dollar($),0,0,No,2,3.7,Yellow,Good,147,Budget
Henry Campbell's Steakhouse,216,Albany,Steak,70,Dollar($),0,0,No,4,3.5,Yellow,Good,51,Budget
Hong Kong Cafe,216,Albany,Chinese,25,Dollar($),0,0,No,2,3.6,Yellow,Good,88,Budget
House of China Restaurant II,216,Albany,Chinese,10,Dollar($),0,0,No,1,3.8,Yellow,Good,153,Budget
Locos Grill & Pub,216,Albany,American,25,Dollar($),0,0,No,2,3.5,Yellow,Good,57,Budget
Longhorn Steakhouse,216,Albany,American,25,Dollar($),0,0,No,2,3.5,Yellow,Good,58,Budget
Mikata Japanese Steakhouse,216,Albany,Japanese,40,Dollar($),0,0,No,3,3.6,Yellow,Good,115,Budget
Shogun Japanese Steak House,216,Albany,Japanese,40,Dollar($),0,0,No,3,3.5,Yellow,Good,51,Budget
The Catch Seafood Room & Oyster Bar,216,Albany,Seafood,40,Dollar($),0,0,No,3,3.8,Yellow,Good,250,Budget
Villa Gargano,216,Albany,Italian,10,Dollar($),0,0,No,1,3.7,Yellow,Good,117,Budget
3 Squares Diner,216,Albany,American,10,Dollar($),0,0,No,1,3.4,Orange,Average,20,Budget
Whitebull Hotel,14,Armidale,Bar Food,20,Dollar($),0,0,No,2,3.5,Yellow,Good,25,Budget
Last Resort Grill,216,Athens,American,40,Dollar($),0,0,No,3,4.5,Dark Green,Excellent,1821,Budget
Mama's Boy Restaurant,216,Athens,Southern,10,Dollar($),0,0,No,1,4.5,Dark Green,Excellent,849,Budget
Sr. Sol 1,216,Athens,Mexican,10,Dollar($),0,0,No,1,4.6,Dark Green,Excellent,917,Budget
Choo Choo Eastside,216,Athens,Japanese,10,Dollar($),0,0,No,1,3.9,Yellow,Good,439,Budget
The Grill,216,Athens,Breakfast,10,Dollar($),0,0,No,1,3.7,Yellow,Good,289,Budget
Big City Bread Cafe,216,Athens,Breakfast,10,Dollar($),0,0,No,1,4.3,Green,Very Good,558,Budget
Clocked,216,Athens,American,10,Dollar($),0,0,No,1,4.2,Green,Very Good,613,Budget
DePalma's Italian Cafe - Downtown,216,Athens,American,25,Dollar($),0,0,No,2,4.0,Green,Very Good,353,Budget
DePalma's Italian Cafe - East Side,216,Athens,American,25,Dollar($),0,0,No,2,4.1,Green,Very Good,387,Budget
Five & Ten,216,Athens,American,40,Dollar($),0,0,No,3,4.3,Green,Very Good,755,Budget
Grit,216,Athens,International,10,Dollar($),0,0,No,1,4.2,Green,Very Good,800,Budget
Ike & Jane,216,Athens,Sandwich,10,Dollar($),0,0,No,1,4.1,Green,Very Good,350,Budget
La Dolce Vita Ristorante,216,Athens,Italian,40,Dollar($),0,0,No,3,4.1,Green,Very Good,464,Budget
Shokitini,216,Athens,Asian,25,Dollar($),0,0,No,2,4.2,Green,Very Good,550,Budget
Taqueria Del Sol,216,Athens,Mexican,10,Dollar($),0,0,No,1,4.1,Green,Very Good,543,Budget
The National,216,Athens,International,40,Dollar($),0,0,No,3,4.1,Green,Very Good,465,Budget
The Royal Peasant,216,Athens,Bar Food,10,Dollar($),0,0,No,1,4.4,Green,Very Good,546,Budget
Transmetropolitan,216,Athens,Italian,10,Dollar($),0,0,No,1,4.4,Green,Very Good,1098,Budget
Trappeze Pub,216,Athens,Burger,25,Dollar($),0,0,No,2,4.2,Green,Very Good,579,Budget
Viva! Argentine Cuisine,216,Athens,Desserts,10,Dollar($),0,0,No,1,4.1,Green,Very Good,374,Budget
Miyabi Kyoto Japanese Steak House,216,Augusta,Chinese,40,Dollar($),0,0,No,3,4.6,Dark Green,Excellent,717,Budget
Rae's Coastal Cafe,216,Augusta,American,40,Dollar($),0,0,No,3,4.9,Dark Green,Excellent,548,Budget
The Bee's Knees,216,Augusta,International,25,Dollar($),0,0,No,2,4.5,Dark Green,Excellent,631,Budget
Boll Weevil Cafe,216,Augusta,Desserts,10,Dollar($),0,0,No,1,3.9,Yellow,Good,372,Budget
Farmhaus Burger,216,Augusta,American,25,Dollar($),0,0,No,2,3.9,Yellow,Good,201,Budget
Manuel's Bread Cafe,216,Augusta,Breakfast,40,Dollar($),0,0,No,3,3.8,Yellow,Good,332,Budget
Sconyers Bar B Que,216,Augusta,BBQ,25,Dollar($),0,0,No,2,3.5,Yellow,Good,304,Budget
Frog Hollow Tavern,216,Augusta,American,40,Dollar($),0,0,No,3,4.3,Green,Very Good,368,Budget
Giuseppe's Pizza & Italian Specialities,216,Augusta,Desserts,25,Dollar($),0,0,No,2,4.1,Green,Very Good,430,Budget
Mellow Mushroom,216,Augusta,Italian,25,Dollar($),0,0,No,2,4.4,Green,Very Good,433,Budget
Nacho Mamas Burritos,216,Augusta,Mexican,10,Dollar($),0,0,No,1,4.0,Green,Very Good,380,Budget
Rhinehart's Oyster Bar,216,Augusta,Bar Food,25,Dollar($),0,0,No,2,4.0,Green,Very Good,456,Budget
Takosushi,216,Augusta,Mexican,40,Dollar($),0,0,No,3,4.2,Green,Very Good,647,Budget
The Chop House,216,Augusta,Steak,40,Dollar($),0,0,No,3,4.0,Green,Very Good,360,Budget
The Taj of India,216,Augusta,Indian,25,Dollar($),0,0,No,2,4.0,Green,Very Good,227,Budget
Augsburg Haus,216,Augusta,German,25,Dollar($),0,0,No,2,3.9,Yellow,Good,290,Budget
Pho Bac,216,Augusta,Vietnamese,10,Dollar($),0,0,No,1,4.1,Green,Very Good,270,Budget
Rhinehart's Oyster Bar,216,Augusta,Burger,25,Dollar($),0,0,No,2,4.0,Green,Very Good,326,Budget
Thai Kitchen,216,Augusta,Thai,35,Dollar($),0,0,No,3,4.3,Green,Very Good,317,Budget
El Kiosco Mexican Restaurant,216,Augusta,Mexican,10,Dollar($),0,0,No,1,4.2,Green,Very Good,300,Budget
Taste of Balingup,14,Balingup,Modern Australian,20,Dollar($),0,0,No,2,3.2,Orange,Average,21,Budget
Bridge Road Brewers,14,Beechworth,Pizza,20,Dollar($),0,0,No,2,4.6,Dark Green,Excellent,237,Budget
Bardenay,216,Boise,American,25,Dollar($),0,0,No,2,4.5,Dark Green,Excellent,879,Budget
Flatbread Neapolitan Pizzeria,216,Boise,Italian,25,Dollar($),0,0,No,2,4.6,Dark Green,Excellent,615,Budget
Goldy's Breakfast Bistro,216,Boise,Breakfast,25,Dollar($),0,0,No,2,4.5,Dark Green,Excellent,879,Budget
Chandlers Steakhouse,216,Boise,American,70,Dollar($),0,0,No,4,3.9,Yellow,Good,379,Budget
Bar Gernika Basque Pub & Eatery,216,Boise,European,10,Dollar($),0,0,No,1,4.3,Green,Very Good,303,Budget
Barbacoa Restaurant,216,Boise,Latin American,70,Dollar($),0,0,No,4,4.1,Green,Very Good,538,Budget
Big Jud's,216,Boise,American,10,Dollar($),0,0,No,1,4.2,Green,Very Good,334,Budget
Bittercreek Ale House,216,Boise,American,25,Dollar($),0,0,No,2,4.3,Green,Very Good,555,Budget
Boise Fry Company,216,Boise,American,10,Dollar($),0,0,No,1,4.4,Green,Very Good,823,Budget
Flying Pie Pizzaria,216,Boise,Pizza,25,Dollar($),0,0,No,2,4.1,Green,Very Good,550,Budget
Fork,216,Boise,American,25,Dollar($),0,0,No,2,4.4,Green,Very Good,650,Budget
Guido's Original New York Style Pizza,216,Boise,Pizza,10,Dollar($),0,0,No,1,4.3,Green,Very Good,410,Budget
Los Beto's,216,Boise,Mexican,10,Dollar($),0,0,No,1,4.4,Green,Very Good,660,Budget
Lucianos Italian Restaurant,216,Boise,Italian,25,Dollar($),0,0,No,2,4.4,Green,Very Good,360,Budget
Mai Thai Restaurant,216,Boise,Sushi,40,Dollar($),0,0,No,3,4.0,Green,Very Good,340,Budget
Shige Japanese Cuisine,216,Boise,Japanese,25,Dollar($),0,0,No,2,4.1,Green,Very Good,393,Budget
The Egg Factory,216,Boise,Breakfast,10,Dollar($),0,0,No,1,4.3,Green,Very Good,422,Budget
Tucanos,216,Boise,Brazilian,40,Dollar($),0,0,No,3,4.0,Green,Very Good,435,Budget
Texas Roadhouse,216,Boise,American,25,Dollar($),0,0,No,2,4.0,Green,Very Good,369,Budget
Brick 29,216,Boise,American,40,Dollar($),0,0,No,3,4.4,Green,Very Good,487,Budget
Winifreds,216,Cedar Rapids/Iowa City,American,40,Dollar($),0,0,No,3,3.7,Yellow,Good,98,Budget
Biaggi's Ristorante Italiano,216,Cedar Rapids/Iowa City,Italian,40,Dollar($),0,0,No,3,4.1,Green,Very Good,365,Budget
El Super Burrito,216,Cedar Rapids/Iowa City,Mexican,10,Dollar($),0,0,No,1,4.1,Green,Very Good,190,Budget
Granite City Food & Brewery,216,Cedar Rapids/Iowa City,American,40,Dollar($),0,0,No,3,4.1,Green,Very Good,429,Budget
Irish Democrat,216,Cedar Rapids/Iowa City,American,25,Dollar($),0,0,No,2,4.4,Green,Very Good,430,Budget
Taste of India,216,Cedar Rapids/Iowa City,Indian,25,Dollar($),0,0,No,2,4.2,Green,Very Good,186,Budget
Thai Moon Restaurant,216,Cedar Rapids/Iowa City,Chinese,10,Dollar($),0,0,No,1,4.2,Green,Very Good,220,Budget
Ting's Red Lantern,216,Cedar Rapids/Iowa City,Chinese,10,Dollar($),0,0,No,1,4.2,Green,Very Good,347,Budget
Monica's,216,Cedar Rapids/Iowa City,American,25,Dollar($),0,0,No,2,3.8,Yellow,Good,161,Budget
Exotic India,216,Cedar Rapids/Iowa City,Indian,25,Dollar($),0,0,No,2,4.1,Green,Very Good,160,Budget
Shorts Burger and Shine,216,Cedar Rapids/Iowa City,Burger,10,Dollar($),0,0,No,1,4.9,Dark Green,Excellent,820,Budget
The Hamburg Inn No. 2 Inc.,216,Cedar Rapids/Iowa City,American,10,Dollar($),0,0,No,1,4.5,Dark Green,Excellent,488,Budget
Bluebird Diner,216,Cedar Rapids/Iowa City,Breakfast,25,Dollar($),0,0,No,2,3.6,Yellow,Good,253,Budget
Graze,216,Cedar Rapids/Iowa City,American,40,Dollar($),0,0,No,3,3.8,Yellow,Good,220,Budget
A & A Pagliai's Pizza,216,Cedar Rapids/Iowa City,Pizza,25,Dollar($),0,0,No,2,4.3,Green,Very Good,485,Budget
Atlas World Grill,216,Cedar Rapids/Iowa City,International,40,Dollar($),0,0,No,3,4.3,Green,Very Good,428,Budget
BlackStone,216,Cedar Rapids/Iowa City,American,25,Dollar($),0,0,No,2,4.1,Green,Very Good,294,Budget
Devotay,216,Cedar Rapids/Iowa City,Mediterranean,40,Dollar($),0,0,No,3,4.0,Green,Very Good,380,Budget
Jimmy Jack's Rib Shack,216,Cedar Rapids/Iowa City,BBQ,25,Dollar($),0,0,No,2,4.2,Green,Very Good,259,Budget
Zoeys Pizzeria,216,Cedar Rapids/Iowa City,Pizza,25,Dollar($),0,0,No,2,4.7,Dark Green,Excellent,433,Budget
Tokyo Sushi,37,Chatham-Kent,Japanese,25,Dollar($),0,0,No,2,3.7,Yellow,Good,176,Budget
Berry Patch Restaurant,216,Clatskanie,American,10,Dollar($),0,0,No,1,4.3,Green,Very Good,96,Budget
Sakura Sushi & Grill,216,Cochrane,Asian,25,Dollar($),0,0,No,2,3.1,Orange,Average,6,Budget
Uptown Vietnam cuisine,216,Columbus,Asian,10,Dollar($),0,0,No,1,3.3,Orange,Average,33,Budget
Cafe Le Rue @ The Landings,216,Columbus,American,25,Dollar($),0,0,No,2,4.6,Dark Green,Excellent,489,Budget
Mark's City Grille,216,Columbus,American,25,Dollar($),0,0,No,2,4.5,Dark Green,Excellent,345,Budget
B Merrell's,216,Columbus,Burger,25,Dollar($),0,0,No,2,3.8,Yellow,Good,149,Budget
Cannon Brewpub,216,Columbus,Pizza,25,Dollar($),0,0,No,2,3.9,Yellow,Good,330,Budget
Fuji Japanese Steak House,216,Columbus,Japanese,40,Dollar($),0,0,No,3,3.9,Yellow,Good,247,Budget
Ruth Ann's Family Restaurant,216,Columbus,Breakfast,10,Dollar($),0,0,No,1,3.7,Yellow,Good,123,Budget
Samurai Japanese Cuisine & Sushi Bar,216,Columbus,Japanese,40,Dollar($),0,0,No,3,3.6,Yellow,Good,109,Budget
Wasabi Sushi and Thai,216,Columbus,Japanese,40,Dollar($),0,0,No,3,3.7,Yellow,Good,134,Budget
Buckhead Bar and Grill,216,Columbus,Seafood,40,Dollar($),0,0,No,3,4.2,Green,Very Good,722,Budget
Burt's Butcher Shoppe and Eatery,216,Columbus,Steak,25,Dollar($),0,0,No,2,4.3,Green,Very Good,213,Budget
Chef Lee's Peking Restaurant,216,Columbus,Chinese,25,Dollar($),0,0,No,2,4.0,Green,Very Good,335,Budget
Country's Barbecue,216,Columbus,BBQ,25,Dollar($),0,0,No,2,4.0,Green,Very Good,353,Budget
Deorio's,216,Columbus,Italian,0,Dollar($),0,0,No,1,4.0,Green,Very Good,170,
Mellow Mushroom,216,Columbus,Pizza,25,Dollar($),0,0,No,2,4.1,Green,Very Good,192,Budget
Meritage,216,Columbus,American,40,Dollar($),0,0,No,3,4.1,Green,Very Good,302,Budget
Mongo The Mongolian Fire Pit,216,Columbus,Asian,10,Dollar($),0,0,No,1,4.2,Green,Very Good,355,Budget
The Black Cow,216,Columbus,American,25,Dollar($),0,0,No,2,4.3,Green,Very Good,287,Budget
Wood Stone,216,Columbus,Italian,40,Dollar($),0,0,No,3,4.0,Green,Very Good,264,Budget
Hunter's Pub,216,Columbus,American,40,Dollar($),0,0,No,3,4.4,Green,Very Good,235,Budget
Consort Restaurant,37,Consort,Chinese,25,Dollar($),0,0,No,2,3.0,Orange,Average,6,Budget
Thatcher's Barbeque and Grill,216,Dalton,American,25,Dollar($),0,0,No,2,3.7,Yellow,Good,38,Budget
Christian and Jake's Bistro,216,Dalton,Desserts,10,Dollar($),0,0,No,1,4.4,Green,Very Good,122,Budget
Dub's High on the Hog,216,Dalton,BBQ,25,Dollar($),0,0,No,2,4.4,Green,Very Good,207,Budget
Sierra's Mexican Restaurant,216,Dalton,Mexican,10,Dollar($),0,0,No,1,3.9,Yellow,Good,66,Budget
Oakwood Cafe,216,Dalton,BBQ,10,Dollar($),0,0,No,1,4.9,Dark Green,Excellent,249,Budget
Chili's Grill & Bar,216,Dalton,American,25,Dollar($),0,0,No,2,3.8,Yellow,Good,63,Budget
Fuji Japanese Steakhouse,216,Dalton,Japanese,40,Dollar($),0,0,No,3,3.8,Yellow,Good,145,Budget
Las Palmas,216,Dalton,Mexican,10,Dollar($),0,0,No,1,3.8,Yellow,Good,83,Budget
Tony's Italian Restaurant & Pizza,216,Dalton,Italian,25,Dollar($),0,0,No,2,3.7,Yellow,Good,116,Budget
Filling Station,216,Dalton,American,10,Dollar($),0,0,No,1,4.1,Green,Very Good,122,Budget
Five Guys Burgers and Fries,216,Dalton,Fast Food,10,Dollar($),0,0,No,1,4.1,Green,Very Good,142,Budget
Los Pablos,216,Dalton,Mexican,10,Dollar($),0,0,No,1,4.1,Green,Very Good,114,Budget
Kobe Hibachi & Sushi,216,Dalton,American,25,Dollar($),0,0,No,2,4.6,Dark Green,Excellent,214,Budget
Soho Hibachi,216,Dalton,Japanese,10,Dollar($),0,0,No,1,4.3,Green,Very Good,116,Budget
Thai Garden,216,Dalton,Thai,25,Dollar($),0,0,No,2,4.2,Green,Very Good,111,Budget
Southern Bliss Bakery,216,Dalton,Desserts,10,Dollar($),0,0,No,1,3.7,Yellow,Good,25,Budget
Bailey's Bar-B-Que,216,Dalton,BBQ,10,Dollar($),0,0,No,1,4.1,Green,Very Good,128,Budget
Farm To Fork,216,Dalton,American,10,Dollar($),0,0,No,1,4.3,Green,Very Good,244,Budget
Home Plate Grill,216,Dalton,American,10,Dollar($),0,0,No,1,4.2,Green,Very Good,112,Budget
Pie Slingers Pizzeria,216,Dalton,Italian,10,Dollar($),0,0,No,1,4.1,Green,Very Good,144,Budget
Olive Tree Cafe,216,Davenport,Indian,25,Dollar($),0,0,No,2,4.6,Dark Green,Excellent,166,Budget
"Red Ginger Sushi, Grill & Bar",216,Davenport,Sushi,40,Dollar($),0,0,No,3,4.5,Dark Green,Excellent,208,Budget
Crust Stone Oven Pizza,216,Davenport,Burger,25,Dollar($),0,0,No,2,3.9,Yellow,Good,136,Budget
